from http://www.psc.isr.umich.edu/dis/census/Features/tract2zip/,,,
Zip,Median,Mean,Pop
1001,56662.57,66687.75,16445.00
1002,49853.42,75062.63,28069.00
1003,28462.00,35121.00,8491.00
1005,75423.00,82442.00,4798.00
1007,79076.35,85801.98,12962.00
1008,63980.00,78391.00,1244.00
1009,51452.00,66737.00,889.00
1010,75625.00,80919.00,3340.00
1011,63476.38,77443.49,1323.00
1012,58750.00,74722.00,677.00
1013,36577.70,46178.61,22907.00
1020,50058.21,58515.86,29626.00
1022,50439.96,60796.56,2124.00
1026,60320.00,71505.00,1052.00
1027,58572.57,66612.91,17452.00
1028,80251.91,94891.22,14143.00
1029,62955.00,97075.00,663.00
1030,71106.01,81726.87,11702.00
1031,61250.00,76417.00,1192.00
1032,67692.00,79796.00,498.00
1034,63980.00,78391.00,1910.00
1035,69911.00,73973.00,4801.00
1036,78869.00,95493.00,5089.00
1037,61250.00,76417.00,627.00
1038,53939.00,72430.00,2557.00
1039,66284.50,78496.93,1291.00
1040,35549.20,43614.71,39827.00
1050,62097.09,70566.16,2380.00
1053,60477.00,77611.00,1720.00
1054,67831.00,86678.00,1656.00
1056,63317.78,72027.15,21205.00
1057,73254.32,78485.12,8474.00
1060,48068.90,67477.51,15578.00
1062,60686.09,82398.01,11283.00
1063,40694.00,32047.00,393.00
1066,53939.00,72430.00,71.00
1068,77396.00,81314.00,1651.00
1069,50344.99,65296.70,8789.00
1070,60320.00,71505.00,573.00
1071,63980.00,78391.00,1518.00
1072,67831.00,86678.00,1503.00
1073,80738.00,94452.00,5366.00
1074,75423.00,82442.00,315.00
1075,63053.25,76026.54,17179.00
1077,73644.82,81585.31,8842.00
1079,51452.00,66737.00,625.00
1080,50100.00,59535.00,2208.00
1081,65917.00,76367.00,1581.00
1082,51935.61,60092.83,10125.00
1083,55030.00,70156.00,2887.00
1084,58750.00,74722.00,158.00
1085,57598.08,68896.87,40392.00
1086,93611.00,83650.00,323.00
1088,53939.00,72430.00,622.00
1089,53711.12,64225.74,27894.00
1092,55030.00,70156.00,1215.00
1093,59722.00,72440.00,340.00
1094,61250.00,76417.00,340.00
1095,89486.18,101877.56,13572.00
1096,66147.72,78919.72,2143.00
1097,63980.00,78391.00,113.00
1098,60320.00,71505.00,1212.00
1103,16962.71,25747.47,2731.00
1104,35379.55,43968.69,22078.00
1105,17755.54,27143.54,12816.00
1106,91889.27,134661.86,15880.00
1107,23557.24,33974.46,11615.00
1108,37410.73,48866.19,26060.00
1109,34638.38,44049.30,30683.00
1118,55853.21,62545.64,14283.00
1119,45184.31,52187.38,13170.00
1128,63176.84,66605.26,3040.00
1129,58703.81,66402.59,6982.00
1151,34174.94,50951.17,8302.00
1199,48306.00,58759.00,14.00
1201,46765.31,57693.80,43838.00
1220,38378.58,50307.81,8947.00
1222,47145.00,68665.00,821.00
1223,48478.00,71204.00,2287.00
1224,66458.00,82491.00,197.00
1225,57419.00,75267.00,3264.00
1226,57505.49,70709.64,7099.00
1229,55096.00,70740.00,129.00
1230,53584.20,73996.17,8654.00
1235,63876.78,73061.79,2597.00
1236,55718.05,74247.34,1656.00
1237,69658.93,87759.02,2426.00
1238,51052.93,64187.08,6110.00
1240,60458.30,74116.95,4787.00
1242,60604.00,74264.00,254.00
1243,60320.00,71505.00,360.00
1244,57917.00,73592.00,136.00
1245,63152.25,90382.95,989.00
1247,38405.17,48294.88,16957.00
1253,62955.00,97075.00,607.00
1254,79145.00,103371.00,1070.00
1255,62955.00,97075.00,824.00
1256,54167.00,59862.00,701.00
1257,47145.00,68665.00,2223.00
1258,55764.00,80635.00,401.00
1259,57917.00,73592.00,640.00
1260,53297.20,67748.80,225.00
1262,55096.00,70740.00,1357.00
1264,63250.00,89918.00,160.00
1266,64328.38,79025.29,1681.00
1267,69925.20,104708.93,8683.00
1270,70662.00,76919.00,761.00
1301,47832.68,54338.38,18444.00
1330,70326.00,81554.00,1512.00
1331,49110.16,59948.86,12856.00
1337,57550.00,68074.00,2649.00
1338,56596.00,67203.00,184.00
1339,6531.18,7755.23,181.00
1341,70326.00,81554.00,1743.00
1342,61912.00,77805.00,1140.00
1343,54167.00,59862.00,73.00
1344,54836.00,62158.00,1216.00
1347,50189.00,64302.00,214.00
1349,51400.94,63742.84,1116.00
1351,50189.00,64302.00,2301.00
1354,57550.00,68074.00,1367.00
1355,67831.00,86678.00,820.00
1360,70606.00,75984.00,2952.00
1364,44676.01,51819.93,7633.00
1366,68373.69,75325.13,1186.00
1368,61950.36,70261.35,1256.00
1370,53002.73,62787.34,4020.00
1373,61437.87,76643.48,4618.00
1375,59722.00,72440.00,3769.00
1376,36099.37,49132.06,5149.00
1378,54836.00,62158.00,742.00
1379,54836.00,62158.00,949.00
1420,48605.93,60460.91,39333.00
1430,79874.60,81307.57,5551.00
1431,80143.00,92672.00,2833.00
1432,55863.00,70682.00,7008.00
1434,119015.89,144182.80,1017.00
1436,66138.00,70269.00,3097.00
1438,66138.00,70269.00,413.00
1440,51232.07,61724.62,20904.00
1450,123278.32,142339.34,9547.00
1451,141274.00,170088.00,4922.00
1452,82443.00,89101.00,3901.00
1453,57280.21,69263.84,41066.00
1460,103750.54,114887.89,8147.00
1462,84910.63,92794.67,9475.00
1463,85403.17,96368.45,11120.00
1464,72598.00,76269.00,6374.00
1467,141274.00,170088.00,328.00
1468,66138.00,70269.00,3134.00
1469,78501.83,85144.86,6892.00
1473,79073.00,86554.00,6906.00
1474,78207.12,84939.29,2302.00
1475,56274.40,66417.86,9597.00
1501,70682.86,81297.98,15923.00
1503,92917.00,109928.00,2517.00
1504,74067.15,80878.82,8824.00
1505,88214.00,128553.00,4083.00
1506,60189.00,69508.00,3056.00
1507,86561.16,92647.68,11274.00
1510,57957.20,69165.26,13261.00
1515,71964.00,82820.00,2095.00
1516,86214.16,92230.98,7089.00
1518,72982.55,87918.41,2303.00
1519,105605.11,119126.79,6128.00
1520,92165.70,103496.34,12543.00
1521,65917.00,76367.00,2408.00
1522,82165.12,97638.60,3083.00
1523,80938.00,104486.00,7102.00
1524,74315.96,85319.02,6356.00
1525,89583.00,96920.00,88.00
1527,68319.36,76893.57,12850.00
1529,77250.00,89180.00,2715.00
1531,61250.00,76417.00,942.00
1532,103270.82,125633.09,14028.00
1534,76675.31,88045.61,4527.00
1535,57196.00,70880.00,4703.00
1536,89347.45,101686.20,5977.00
1537,68664.00,77943.00,2219.00
1540,62079.26,72326.36,10958.00
1541,102853.00,114762.00,3341.00
1542,67171.66,77659.65,2025.00
1543,81295.00,88574.00,6332.00
1545,88643.24,101693.03,31637.00
1550,48194.92,55175.62,17217.00
1560,68854.00,94984.00,2754.00
1561,80938.00,104486.00,236.00
1562,65184.01,71987.79,11681.00
1564,102115.00,118110.00,7267.00
1566,72387.06,87792.21,5531.00
1568,107950.00,121356.00,5650.00
1569,80536.35,86326.18,11080.00
1570,50141.80,57820.04,16396.00
1571,64228.22,72673.96,10023.00
1581,101875.71,123549.97,17899.00
1583,79865.40,91095.39,6665.00
1585,60375.65,72570.85,4472.00
1588,67286.14,80024.61,8644.00
1590,104729.69,116563.42,8247.00
1602,61861.44,78373.60,21596.00
1603,37453.74,46306.69,14613.00
1604,47437.88,59373.00,33032.00
1605,41023.11,54480.11,24799.00
1606,57646.18,70503.42,19516.00
1607,47987.45,59093.90,8415.00
1608,26525.96,39039.08,3634.00
1609,44500.93,62365.11,20425.00
1610,21388.23,28804.68,15545.00
1611,63333.00,73699.00,2206.00
1612,100358.38,104489.45,4363.00
1701,92017.75,102935.74,31114.00
1702,53080.71,65995.32,35990.00
1718,84559.00,121293.00,374.00
1719,102222.00,119845.00,4870.00
1720,110533.89,131678.41,19798.00
1721,91903.57,114035.86,14602.00
1730,107033.20,125493.58,12547.00
1731,77368.85,96728.30,2914.00
1740,125741.00,148232.00,4125.00
1741,155000.00,189989.00,4798.00
1742,119901.54,183177.71,17075.00
1745,114761.00,142894.00,331.00
1746,101901.33,122803.21,13866.00
1747,97227.00,102044.00,5815.00
1748,121181.79,170522.41,13318.00
1749,76499.94,85689.43,18081.00
1752,71835.30,89002.07,36273.00
1754,76227.90,82167.28,10414.00
1756,102625.00,117692.00,5257.00
1757,68565.01,82206.19,26877.00
1760,90673.04,113932.86,31763.00
