AreaName,total
ALACHUA,28000
BAKER,792
BAY,25290
BRADFORD,2084
BREVARD,42338
BROWARD,206764
CALHOUN,741
CHARLOTTE,12427
CITRUS,6369
CLAY,16240
COLLIER,37328
COLUMBIA,10662
DESOTO,2934
DIXIE,712
DUVAL,80957
ESCAMBIA,23368
FLAGLER,7294
FRANKLIN,795
GADSDEN,3242
GILCHRIST,1903
GLADES,289
GULF,1359
HAMILTON,562
HARDEE,4952
HENDRY,4297
HERNANDO,11560
HIGHLANDS,14042
HILLSBOROUGH,172126
HOLMES,939
INDIAN RIVER,16833
JACKSON,2354
JEFFERSON,112
LAFAYETTE,425
LAKE,18891
LEE,88042
LEON,39894
LEVY,3701
LIBERTY,399
MADISON,383
MANATEE,35846
MARION,29902
MARTIN,12424
MIAMI-DADE,287641
MONROE,9674
NASSAU,1141
OKALOOSA,34092
OKEECHOBEE,4929
ORANGE,136365
OSCEOLA,26249
PALM BEACH,137886
PASCO,35855
PINELLAS,97932
POLK,68417
PUTNAM,9559
ST. JOHNS,14902
ST. LUCIE,28031
SANTA ROSA,11964
SARASOTA,30111
SEMINOLE,64056
SUMTER,2599
SUWANNEE,2220
TAYLOR,1466
UNION,662
VOLUSIA,42437
WAKULLA,1309
WALTON,2469
WASHINGTON,790
