"","imm","medicaid_costs"
"1",1,49775458.491211
"2",2,48419750.4525852
"3",3,46992689.3592949
"4",4,45565628.2660046
"5",5,44138567.1727142
"6",6,42711506.0794239
"7",7,41284444.9861336
"8",8,39857383.8928432
"9",9,38430322.7995529
"10",10,37003261.7062626
"11",11,35576200.6129723
"12",12,34149139.5196819
"13",13,32722078.4263916
"14",14,31295017.3331013
"15",15,29867956.239811
"16",16,28440895.1465206
"17",17,27157837.490826
"18",18,26450793.585514
"19",19,25743749.6802019
"20",20,25036705.7748899
"21",21,24329661.8695779
"22",22,23622617.9642659
"23",23,22915574.0589538
"24",24,22208530.1536418
"25",25,21501486.2483298
"26",26,20794442.3430178
"27",27,20087398.4377057
"28",28,19380354.5323937
"29",29,18673310.6270817
"30",30,17966266.7217697
"31",31,17259222.8164576
"32",32,16552178.9111456
"33",33,15845135.0058336
"34",34,15138091.1005216
"35",35,14431047.1952095
"36",36,13724003.2898975
"37",37,13016959.3845855
"38",38,12495433.4214012
"39",39,12252184.3714085
"40",40,12008935.3214159
"41",41,11765686.2714232
"42",42,11522437.2214305
"43",43,11279188.1714379
"44",44,11035939.1214452
"45",45,10792690.0714525
"46",46,10549441.0214598
"47",47,10306191.9714672
"48",48,10062942.9214745
"49",49,9819693.87148184
"50",50,9576444.82148917
"51",51,9333195.7714965
"52",52,9089946.72150383
"53",53,8846697.67151116
"54",54,8603448.62151849
"55",55,8360199.57152582
"56",56,8116950.52153315
"57",57,7873701.47154048
"58",58,7630452.42154781
"59",59,7478665.01435239
"60",60,7387852.03568846
"61",61,7297039.05702453
"62",62,7206226.0783606
"63",63,7115413.09969667
"64",64,7024600.12103274
"65",65,6933787.14236881
"66",66,6842974.16370488
"67",67,6752161.18504095
"68",68,6661348.20637702
"69",69,6570535.22771309
"70",70,6479722.24904916
"71",71,6388909.27038523
"72",72,6298096.2917213
"73",73,6207283.31305737
"74",74,6116470.33439344
"75",75,6025657.35572951
"76",76,5934844.37706558
"77",77,5844031.39840165
"78",78,5753218.41973772
"79",79,5662405.44107379
"80",80,5571592.46240986
"81",81,5480779.48374594
"82",82,5389966.505082
"83",83,5299153.52641807
"84",84,5208340.54775415
"85",85,5117527.56909022
"86",86,5026714.59042628
"87",87,4935901.61176236
"88",88,4845088.63309843
"89",89,4754275.6544345
"90",90,4663462.67577057
"91",91,4572649.69710664
"92",92,4481836.71844271
"93",93,4391023.73977878
"94",94,4300210.76111485
"95",95,4209397.78245092
"96",96,NA
"97",97,NA
"98",98,NA
"99",99,NA
"100",100,NA
