"flu_season","age_group","region","cases","pop","cumulative_incidence"
"2010-2011","00-04","ALACHUA",154,13373.3230769231,0.0115154624706361
"2010-2011","00-04","FLORIDA",24974,942428.594871795,0.0264996203806798
"2010-2011","00-04","REGION3",3533,119168.871794872,0.0296470038424249
"2010-2011","05-17","ALACHUA",66,36966.5025641026,0.00178540017102108
"2010-2011","05-17","FLORIDA",20000,2581196.89333333,0.00774834343387582
"2010-2011","05-17","REGION3",2411,319447.381538462,0.00754740886711483
"2010-2011","18-44","ALACHUA",226,114593.128205128,0.00197219504816595
"2010-2011","18-44","FLORIDA",27922,5704913.48102564,0.00489437746827672
"2010-2011","18-44","REGION3",3084,669240.849230769,0.00460820645294556
"2010-2011","45-64","ALACHUA",63,56625.2717948718,0.001112577441186
"2010-2011","45-64","FLORIDA",9513,4549134.42051282,0.00209116704863771
"2010-2011","45-64","REGION3",1014,542796.266666667,0.00186810422670556
"2010-2011","65+","ALACHUA",33,27163.9230769231,0.00121484661499557
"2010-2011","65+","FLORIDA",4659,2985288.46666667,0.00156065320052711
"2010-2011","65+","REGION3",450,309127.312820513,0.00145571090400958
"2010-2011","all","ALACHUA",542,248722.148717949,0.00217913845949694
"2010-2011","all","FLORIDA",87068,16762961.8564103,0.00519407016169429
"2010-2011","all","REGION3",10492,1959780.68205128,0.00535366028254658
"2011-2012","00-04","ALACHUA",56,13748.1632653061,0.00407327138319033
"2011-2012","00-04","FLORIDA",21177,944525.714285714,0.022420776565109
"2011-2012","00-04","REGION3",3030,118435.183673469,0.0255836138047781
"2011-2012","05-17","ALACHUA",46,36392.3102040816,0.00126400329470814
"2011-2012","05-17","FLORIDA",14111,2581513.85714286,0.00546617247897233
"2011-2012","05-17","REGION3",1835,317697.269387755,0.00577593884749557
"2011-2012","18-44","ALACHUA",232,115810.546938776,0.00200327177560649
"2011-2012","18-44","FLORIDA",17970,5768246.81632653,0.0031153313254796
"2011-2012","18-44","REGION3",2446,672100.791836735,0.00363933509632611
"2011-2012","45-64","ALACHUA",81,56581.8367346939,0.00143155480052371
"2011-2012","45-64","FLORIDA",6397,4599692.40816327,0.00139074516996984
"2011-2012","45-64","REGION3",725,545197.306122449,0.00132979380466192
"2011-2012","65+","ALACHUA",26,28259.8979591837,0.000920031630600801
"2011-2012","65+","FLORIDA",3391,3089032.46938776,0.00109775472857755
"2011-2012","65+","REGION3",340,322144.204081633,0.00105542795956634
"2011-2012","all","ALACHUA",441,250792.755102041,0.00175842400160471
"2011-2012","all","FLORIDA",63046,16983011.2653061,0.00371229807335723
"2011-2012","all","REGION3",8376,1975574.75510204,0.00423977881797106
"2012-2013","00-04","ALACHUA",58,14068.558974359,0.00412266815000097
"2012-2013","00-04","FLORIDA",28030,946226.415384615,0.0296229311972934
"2012-2013","00-04","REGION3",3200,117674.087179487,0.0271937524794144
"2012-2013","05-17","ALACHUA",72,36375.4933333333,0.00197935459844393
"2012-2013","05-17","FLORIDA",23769,2588816.17435897,0.00918141667817937
"2012-2013","05-17","REGION3",2706,317966.204102564,0.00851033841045303
"2012-2013","18-44","ALACHUA",421,116292.834871795,0.0036201714444757
"2012-2013","18-44","FLORIDA",33014,5822737.06153846,0.00566984214658616
"2012-2013","18-44","REGION3",4221,675664.16,0.00624718647204848
"2012-2013","45-64","ALACHUA",137,56207.1282051282,0.00243741326722863
"2012-2013","45-64","FLORIDA",13411,4622963.03076923,0.00290095333030783
