"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
United States,0.467,0
"Autauga County, Alabama",0.405,0.016
"Baldwin County, Alabama",0.439,0.01
"Barbour County, Alabama",0.464,0.025
"Bibb County, Alabama",0.411,0.023
"Blount County, Alabama",0.422,0.017
"Bullock County, Alabama",0.533,0.045
"Butler County, Alabama",0.463,0.019
"Calhoun County, Alabama",0.453,0.01
"Chambers County, Alabama",0.425,0.013
"Cherokee County, Alabama",0.439,0.024
"Chilton County, Alabama",0.451,0.026
"Choctaw County, Alabama",0.457,0.03
"Clarke County, Alabama",0.523,0.03
"Clay County, Alabama",0.421,0.024
"Cleburne County, Alabama",0.424,0.021
"Coffee County, Alabama",0.452,0.017
"Colbert County, Alabama",0.435,0.012
"Conecuh County, Alabama",0.484,0.033
"Coosa County, Alabama",0.443,0.049
"Covington County, Alabama",0.475,0.026
"Crenshaw County, Alabama",0.466,0.042
"Cullman County, Alabama",0.445,0.013
"Dale County, Alabama",0.424,0.018
"Dallas County, Alabama",0.515,0.024
"DeKalb County, Alabama",0.454,0.018
"Elmore County, Alabama",0.405,0.01
"Escambia County, Alabama",0.464,0.019
"Etowah County, Alabama",0.453,0.012
"Fayette County, Alabama",0.418,0.022
"Franklin County, Alabama",0.454,0.024
"Geneva County, Alabama",0.456,0.042
"Greene County, Alabama",0.484,0.029
"Hale County, Alabama",0.48,0.045
"Henry County, Alabama",0.446,0.024
"Houston County, Alabama",0.466,0.008
"Jackson County, Alabama",0.438,0.016
"Jefferson County, Alabama",0.492,0.007
"Lamar County, Alabama",0.495,0.078
"Lauderdale County, Alabama",0.461,0.012
"Lawrence County, Alabama",0.399,0.014
"Lee County, Alabama",0.479,0.01
"Limestone County, Alabama",0.435,0.013
"Lowndes County, Alabama",0.506,0.037
"Macon County, Alabama",0.483,0.019
"Madison County, Alabama",0.454,0.007
"Marengo County, Alabama",0.484,0.023
"Marion County, Alabama",0.449,0.021
"Marshall County, Alabama",0.462,0.014
"Mobile County, Alabama",0.473,0.007
"Monroe County, Alabama",0.483,0.032
"Montgomery County, Alabama",0.473,0.009
"Morgan County, Alabama",0.439,0.014
"Perry County, Alabama",0.47,0.035
"Pickens County, Alabama",0.453,0.015
"Pike County, Alabama",0.514,0.017
"Randolph County, Alabama",0.489,0.053
"Russell County, Alabama",0.429,0.016
"St. Clair County, Alabama",0.415,0.016
"Shelby County, Alabama",0.434,0.012
"Sumter County, Alabama",0.512,0.035
"Talladega County, Alabama",0.44,0.011
"Tallapoosa County, Alabama",0.497,0.04
"Tuscaloosa County, Alabama",0.488,0.011
"Walker County, Alabama",0.457,0.017
"Washington County, Alabama",0.45,0.024
"Wilcox County, Alabama",0.501,0.029
"Winston County, Alabama",0.452,0.024
"Aleutians East Borough, Alaska",0.399,0.04
"Aleutians West Census Area, Alaska",0.381,0.029
"Anchorage Municipality, Alaska",0.416,0.009
"Bethel Census Area, Alaska",0.446,0.019
"Bristol Bay Borough, Alaska",0.343,0.033
"Denali Borough, Alaska",0.348,0.049
