Date,Data,Expected,Detection
02Aug15,1,1.071,0.535
01Aug15,1,1.036,0.532
31Jul15,0,0.929,0.5
30Jul15,2,0.929,0.053
29Jul15,3,1,0.024
28Jul15,0,1,0.5
27Jul15,0,0.964,0.5
26Jul15,1,0.929,0.375
25Jul15,1,0.964,0.365
24Jul15,1,1.036,0.375
23Jul15,1,1,0.259
22Jul15,2,1,0.143
21Jul15,2,1,0.216
20Jul15,0,1,0.5
19Jul15,2,0.964,0.163
18Jul15,1,1,0.372
17Jul15,2,1,0.194
16Jul15,1,1.036,0.514
15Jul15,1,1.036,0.517
14Jul15,1,1.107,0.578
13Jul15,0,1.107,0.5
12Jul15,0,1.143,0.5
11Jul15,1,1.107,0.575
10Jul15,0,1.143,0.5
09Jul15,1,1.214,0.584
08Jul15,1,1.25,0.625
07Jul15,0,1.25,0.5
06Jul15,1,1.321,0.487
05Jul15,2,1.321,0.285
04Jul15,2,1.286,0.305
03Jul15,1,1.321,0.611
02Jul15,1,1.464,0.673
01Jul15,0,1.393,0.5
30Jun15,0,1.393,0.5
29Jun15,2,1.429,0.356
28Jun15,1,1.464,0.677
27Jun15,0,1.393,0.5
26Jun15,0,1.286,0.5
25Jun15,2,1.286,0.097
24Jun15,4,1.393,0.027
23Jun15,1,1.321,0.634
22Jun15,0,1.357,0.5
21Jun15,2,1.429,0.349
20Jun15,1,1.357,0.6
19Jun15,1,1.321,0.507
18Jun15,2,1.286,0.311
17Jun15,1,1.321,0.576
16Jun15,2,1.321,0.344
15Jun15,0,1.393,0.5
14Jun15,2,1.429,0.356
13Jun15,1,1.5,0.658
12Jun15,1,1.464,0.668
11Jun15,0,1.393,0.5
10Jun15,2,1.393,0.184
09Jun15,2,1.321,0.157
08Jun15,2,1.25,0.108
07Jun15,2,1.357,0.147
06Jun15,4,1.393,0.04
05Jun15,1,1.393,0.647
04Jun15,0,1.321,0.5
03Jun15,1,1.429,0.416
02Jun15,4,1.5,0.046
01Jun15,0,1.464,0.5
31May15,1,1.464,0.645
30May15,1,1.607,0.682
29May15,1,1.607,0.703
28May15,0,1.679,0.5
27May15,1,1.607,0.671
26May15,1,1.643,0.589
25May15,3,1.679,0.212
24May15,0,1.607,0.5
23May15,2,1.714,0.389
22May15,3,1.714,0.218
21May15,0,1.714,0.5
20May15,0,1.714,0.5
19May15,1,1.714,0.677
18May15,1,1.714,0.529
17May15,2,1.643,0.256
16May15,3,1.607,0.163
15May15,2,1.714,0.421
14May15,2,1.714,0.449
13May15,1,1.893,0.718
12May15,0,2.036,0.5
11May15,2,2.107,0.566
10May15,0,2.071,0.5
09May15,2,2.036,0.4
08May15,4,2.179,0.201
07May15,1,2.25,0.749
06May15,1,2.179,0.673
05May15,2,2.143,0.476
04May15,3,2.214,0.336
03May15,3,2.321,0.414
02May15,0,2.214,0.5
01May15,1,2.286,0.637
30Apr15,4,2.214,0.202
29Apr15,1,2.321,0.736
28Apr15,3,2.357,0.402
27Apr15,1,2.357,0.772
26Apr15,1,2.464,0.762
25Apr15,3,2.429,0.414
24Apr15,1,2.5,0.777
23Apr15,3,2.679,0.493
22Apr15,0,2.786,0.5
21Apr15,1,2.786,0.834
20Apr15,1,2.821,0.824
19Apr15,2,2.857,0.67
18Apr15,3,2.929,0.549
17Apr15,0,2.857,0.5
16Apr15,1,3,0.739
15Apr15,4,2.893,0.285
14Apr15,0,2.786,0.5
13Apr15,7,2.821,0.009
12Apr15,4,2.786,0.217
11Apr15,4,2.857,0.245
10Apr15,3,2.821,0.52
09Apr15,0,2.857,0.5
08Apr15,5,3.143,0.173
07Apr15,4,3.321,0.42
06Apr15,1,3.464,0.881
05Apr15,2,3.643,0.767
04Apr15,2,3.643,0.745
03Apr15,4,3.679,0.493
02Apr15,1,3.857,0.885
01Apr15,3,3.786,0.666
31Mar15,1,3.821,0.872
30Mar15,4,3.893,0.515
29Mar15,2,3.964,0.795
28Mar15,3,4,0.66
27Mar15,4,4.071,0.549
26Mar15,2,4.143,0.82
25Mar15,2,4.071,0.709
24Mar15,6,4.214,0.249
23Mar15,4,4.214,0.568
22Mar15,2,4.25,0.819
21Mar15,4,4.25,0.593
20Mar15,1,4.286,0.913
19Mar15,3,4.393,0.739
18Mar15,2,4.643,0.826
17Mar15,4,4.714,0.616
16Mar15,4,4.571,0.626
15Mar15,1,4.75,0.901
14Mar15,5,4.893,0.53
13Mar15,2,4.821,0.857
12Mar15,2,4.964,0.727
11Mar15,4,4.714,0.313
10Mar15,5,4.607,0.113
09Mar15,9,4.429,0.03
08Mar15,7,4.393,0.114
07Mar15,6,4.5,0.216
06Mar15,9,4.429,0.075
05Mar15,1,4.25,0.814
04Mar15,4,4.286,0.517
03Mar15,6,4.25,0.303
02Mar15,2,4.143,0.718
01Mar15,3,4.071,0.48
28Feb15,5,4.143,0.301
27Feb15,6,4.107,0.273
26Feb15,3,3.964,0.468
25Feb15,4,4.214,0.347
24Feb15,8,4,0.11
23Feb15,2,4.036,0.624
22Feb15,6,4.25,0.295
21Feb15,4,4.429,0.584
20Feb15,2,4.714,0.775
19Feb15,3,4.607,0.564
18Feb15,3,4.357,0.293
17Feb15,7,4.357,0.073
16Feb15,11,4.429,0.023
15Feb15,3,4.214,0.679
14Feb15,1,4.214,0.601
13Feb15,7,4.286,0.179
12Feb15,6,4.071,0.274
11Feb15,2,4.107,0.522
10Feb15,9,4.143,0.06
09Feb15,2,4.321,0.796
08Feb15,4,4.107,0.554
07Feb15,1,4.179,0.722
06Feb15,8,4.179,0.094
05Feb15,4,4.429,0.598
04Feb15,2,4.5,0.842
03Feb15,1,4.821,0.902
02Feb15,3,5.036,0.779
01Feb15,2,5.179,0.867
31Jan15,2,5.107,0.844
30Jan15,4,5.25,0.66
29Jan15,5,5.25,0.561
28Jan15,3,5.143,0.71
27Jan15,4,5.393,0.564
26Jan15,9,5.429,0.148
25Jan15,0,5.393,0.5
24Jan15,5,5.214,0.183
23Jan15,8,5.179,0.049
22Jan15,8,5.393,0.114
21Jan15,11,5.357,0.035
20Jan15,4,5.643,0.723
