"flu_season","region","babies_pop","kids_pop","young_cases","young_pop","all_pop","all_cases","p_young","significant","p","p_young_relative_to_1415"
"2010-2011","ALACHUA",13403.4025974026,36911.438961039,277,50314.8415584416,248884.298701299,861,0.321718931475029,TRUE,2.18194679211862e-19,"greater"
"2010-2011","FLORIDA",944241.571428571,2584759.88311688,50582,3529001.45454545,16809687.3766234,96629,0.52346604021567,TRUE,2.10811634361825e-34,"greater"
"2010-2011","REGION3",117456.324675325,315266.298701299,6707,432722.623376623,1932405.90909091,11734,0.571586841656724,TRUE,5.1463029120429e-89,"greater"
"2011-2012","ALACHUA",13776.9090909091,36355.6121212121,126,50132.5212121212,250954.818181818,617,0.204213938411669,TRUE,0.00975889057722399,"greater"
"2011-2012","FLORIDA",946343.303030303,2585717.84848485,42097,3532061.15151515,17027031.5757576,74707,0.56349471937034,TRUE,2.8942456503466e-185,"greater"
"2011-2012","REGION3",116729.484848485,313794.03030303,5938,430523.515151515,1949293.78787879,10070,0.589672293942403,TRUE,1.38741753903825e-106,"greater"
"2012-2013","ALACHUA",14087.1038961039,36403.2,178,50490.3038961039,252786.714285714,1238,0.143780290791599,FALSE,0.457105948872358,"less"
"2012-2013","FLORIDA",947910.714285714,2593316.03116883,58401,3541226.74545455,17238199.9480519,118366,0.493393373097004,TRUE,0.0201617873778891,"less"
"2012-2013","REGION3",116021.688311688,314213.098701299,6607,430234.787012987,1968426.05194805,13818,0.478144449269069,TRUE,1.04893128904548e-07,"greater"
"2013-2014","ALACHUA",13911.2629362825,36637.1429087189,125,50548.4058450014,251837.2477668,1149,0.108790252393386,TRUE,0.00100041600074259,"less"
"2013-2014","FLORIDA",956094.49385738,2617285.74553495,52844,3573380.23939233,17295994.9008598,108120,0.488753237143914,TRUE,4.96943873950453e-06,"less"
"2013-2014","REGION3",117457.527317064,317764.472738212,5365,435222.000055275,1978048.36527886,11884,0.451447324133288,FALSE,0.410277165883511,"greater"
"2014-2015","ALACHUA",14138.9795603458,36492.3316722104,196,50631.3112325562,256056.090031567,1263,0.155186064924782,FALSE,1,"same"
"2014-2015","FLORIDA",975577.962744905,2650993.89045899,70902,3626571.85320389,17590883.9681973,142382,0.497970249048335,FALSE,1,"same"
"2014-2015","REGION3",121120.173025777,323597.990516823,6232,444718.1635426,2031336.53980447,13965,0.446258503401361,FALSE,1,"same"
