"flu_season","age_group","florida","region3","region3_p_value","florida_p_value","rr_region3","rr_florida","rr_95_region3","rr_95_florida","ve_95_region3","ve_95_florida"
"2010-2011","00-04",52.9584045407649,58.8307347541253,7.80481564074948e-36,8.63262711748391e-27,0.411692652458747,0.470415954592351,"0.3634 - 0.4571","0.4073 - 0.5321","0.6366 - 0.5429","0.5927 - 0.4679"
"2010-2011","05-17",72.3391385723405,71.9962151344731,2.82282746428667e-36,4.26701151015147e-38,0.280037848655269,0.276608614276595,"0.2287 - 0.3277","0.2202 - 0.3316","0.7713 - 0.6723","0.7798 - 0.6684"
"2010-2011","18-44",32.8849415245483,30.6201865163746,1.88468300221204e-12,5.74859155174998e-16,0.693798134836254,0.671150584754517,"0.6479 - 0.7367","0.6125 - 0.7285","0.3521 - 0.2633","0.3875 - 0.2715"
"2010-2011","45-64",7.26448206297212,-1.41998870885816,0.922117798153083,0.438536399204518,1.01419988708858,0.927355179370279,"0.88 - 1.1333","0.7719 - 1.0769","0.12 - -0.1333","0.2281 - -0.0769"
"2010-2011","65+",-14.5613539093088,-17.1688260209383,0.306482850265802,0.361616360556926,1.17168826020938,1.14561353909309,"0.9269 - 1.3769","0.8501 - 1.4253","0.0731 - -0.3769","0.1499 - -0.4253"
"2010-2011","all",39.8192211954936,43.0284644446178,7.17526927178136e-59,5.08305154243909e-51,0.569715355553822,0.601807788045064,"0.5412 - 0.5972","0.5649 - 0.6383","0.4588 - 0.4028","0.4351 - 0.3617"
"2011-2012","00-04",83.0022196146639,85.2793230597595,5.44281483611267e-68,8.256180883024e-57,0.147206769402405,0.169977803853361,"0.1128 - 0.1794","0.1276 - 0.2113","0.8872 - 0.8206","0.8724 - 0.7887"
"2011-2012","05-17",73.5011418426273,76.8837812144347,3.74506441281776e-37,1.37543297006764e-30,0.231162187855653,0.264988581573727,"0.1804 - 0.278","0.2016 - 0.3266","0.8196 - 0.722","0.7984 - 0.6734"
"2011-2012","18-44",20.905448835044,33.4555982211729,1.03182227413821e-12,1.9448798713497e-05,0.665444017788271,0.79094551164956,"0.6161 - 0.7113","0.7152 - 0.8647","0.3839 - 0.2887","0.2848 - 0.1353"
"2011-2012","45-64",-28.1529151580627,-33.9314449479674,0.00354521161292373,0.00882784839966076,1.33931444947967,1.28152915158063,"1.1715 - 1.4856","1.0684 - 1.4852","-0.1715 - -0.4856","-0.0684 - -0.4852"
"2011-2012","65+",-2.37681140142547,-1.44038939841684,0.999999999999983,0.955636837393511,1.01440389398417,1.02376811401425,"0.7429 - 1.2368","0.6975 - 1.33","0.2571 - -0.2368","0.3025 - -0.33"
"2011-2012","all",43.963981460521,52.407616668201,3.52549867551142e-75,6.28462406606934e-48,0.47592383331799,0.56036018539479,"0.4468 - 0.504","0.5195 - 0.6007","0.5532 - 0.496","0.4805 - 0.3993"
"2012-2013","00-04",83.6948970341478,82.3004844207359,2.58935857216669e-66,5.15448774601844e-76,0.176995155792641,0.163051029658522,"0.141 - 0.2107","0.127 - 0.1983","0.859 - 0.7893","0.873 - 0.8017"
"2012-2013","05-17",72.9751089236957,71.1713496442439,2.10768863221782e-39,2.59988181113888e-45,0.288286503557561,0.270248910763043,"0.2392 - 0.334","0.2189 - 0.3204","0.7608 - 0.666","0.7811 - 0.6796"
"2012-2013","18-44",1.57789762790708,11.953476032432,0.00162258260424754,0.687573840186418,0.88046523967568,0.984221023720929,"0.8395 - 0.9191","0.9208 - 1.0463","0.1605 - 0.0809","0.0792 - -0.0463"
"2012-2013","45-64",-31.5323499607329,-26.7301110097231,0.000762679714351394,3.73188399602653e-05,1.26730111009723,1.31532349960733,"1.1562 - 1.3684","1.1625 - 1.4633","-0.1562 - -0.3684","-0.1625 - -0.4633"
"2012-2013","65+",-38.5294597037256,-57.8083768110122,3.71150908084363e-06,0.000493722445027245,1.57808376811012,1.38529459703726,"1.3815 - 1.7495","1.1535 - 1.6078","-0.3815 - -0.7495","-0.1535 - -0.6078"
"2012-2013","all",28.6767142857198,30.2345635355216,2.14555471099503e-34,9.99223571993008e-33,0.697654364644784,0.713232857142802,"0.6698 - 0.7246","0.6772 - 0.7489","0.3302 - 0.2754","0.3228 - 0.2511"
"2013-2014","00-04",87.9404448663582,85.2359934936407,7.97182290771282e-59,6.05830758556236e-78,0.147640065063592,0.120595551336418,"0.1105 - 0.1823","0.088 - 0.1524","0.8895 - 0.8177","0.912 - 0.8476"
"2013-2014","05-17",77.2801846034994,73.2443574012216,2.39912904087973e-32,4.0802510557247e-43,0.267556425987784,0.227198153965006,"0.2126 - 0.3182","0.1755 - 0.2776","0.7874 - 0.6818","0.8245 - 0.7224"
"2013-2014","18-44",1.45928758898612,6.97370210625938,0.0821966315941154,0.717269089112216,0.930262978937406,0.985407124110139,"0.8867 - 0.9713","0.9206 - 1.0489","0.1133 - 0.0287","0.0794 - -0.0489"
"2013-2014","45-64",-47.2642739170318,-43.3302473943992,1.67042973782677e-07,2.12579099529397e-09,1.43330247394399,1.47264273917032,"1.3146 - 1.541","1.3068 - 1.633","-0.3146 - -0.541","-0.3068 - -0.633"
"2013-2014","65+",-64.8678220297319,-75.1065835291453,2.07653346524884e-07,8.2341640715397e-07,1.75106583529145,1.64867822029732,"1.5166 - 1.9515","1.3488 - 1.9344","-0.5166 - -0.9515","-0.3488 - -0.9344"
"2013-2014","all",27.0139978173682,24.0593469685336,3.59307024934235e-19,1.22956626879556e-26,0.759406530314664,0.729860021826318,"0.7284 - 0.7894","0.6915 - 0.7677","0.2716 - 0.2106","0.3085 - 0.2323"
"2014-2015","00-04",86.4093883559516,80.4900659409927,8.43707110418076e-57,4.10114799124791e-96,0.195099340590073,0.135906116440484,"0.1553 - 0.2323","0.1056 - 0.1657","0.8447 - 0.7677","0.8944 - 0.8343"
"2014-2015","05-17",73.0252566549449,63.2432689463749,3.47035340987079e-29,8.37611631935672e-54,0.367567310536251,0.269747433450551,"0.3117 - 0.4195","0.2229 - 0.3156","0.6883 - 0.5805","0.7771 - 0.6844"
"2014-2015","18-44",16.1001073955888,16.5028620173463,1.03401967925216e-05,5.26111735222669e-06,0.834971379826537,0.838998926044112,"0.7945 - 0.8732","0.7832 - 0.8937","0.2055 - 0.1268","0.2168 - 0.1063"
"2014-2015","45-64",-35.1526432650804,-51.5947440284264,5.25971194599672e-11,4.49370818520813e-07,1.51594744028426,1.3515264326508,"1.4026 - 1.6193","1.2109 - 1.488","-0.4026 - -0.6193","-0.2109 - -0.488"
"2014-2015","65+",17.5971470118219,2.64632080418616,0.839043201993851,0.0615579291939787,0.973536791958138,0.824028529881781,"0.8242 - 1.1064","0.6685 - 0.9743","0.1758 - -0.1064","0.3315 - 0.0257"
"2014-2015","all",39.0602292785735,28.2521020622911,5.48070288347131e-30,1.33319391595137e-70,0.717478979377089,0.609397707214265,"0.6891 - 0.7449","0.5786 - 0.6399","0.3109 - 0.2551","0.4214 - 0.3601"
